detuning [GHz],transmission [-]
-0.212233897683831,1.00252791756528
-0.20223981477569,0.995918247411842
-0.192245731867549,1.00347678018483
-0.18225164895940799,1.01187913575096
-0.172257566051267,0.993894693444453
-0.162263483143126,0.993405763440069
-0.152269400234985,1.01095401401894
-0.142275317326844,1.00212853483887
-0.13228123441870301,0.98889354750375
-0.122287151510562,0.997940312600479
-0.112293068602421,0.986529368410448
-0.10229898569428,0.984776502014245
-0.0923049027861391,0.989595532931716
-0.0823108198779981,0.965029490475278
-0.07231673696985709,0.962787312459037
-0.0623226540617161,0.968600874963725
-0.0523285711535752,0.955645927683983
-0.042334488245434204,0.95624837018249
-0.0323404053372932,0.924620488257457
-0.0223463224291522,0.89028481667785
-0.0123522395210112,0.880018894293046
-0.00235815661287022,0.829713544870999
0.00763592629527077,0.834105046112259
0.0176300092034118,0.853385088285755
0.0276240921115527,0.900010598413871
0.0376181750196937,0.934630910266055
0.047612257927834696,0.940699560691138
0.0576063408359757,0.968292481508042
0.06760042374411669,0.966845240217441
0.0775945066522577,0.975721002189153
0.0875885895603987,0.976772689619963
0.09758267246853959,1.00437646495756
0.107576755376681,0.98803677599147
0.117570838284822,0.979387064717214
0.127564921192963,0.999602284620927
0.137559004101104,0.980300525478319
0.14755308700924502,0.99551834991099
0.157547169917386,0.974591667012807
0.167541252825527,0.981538879158427
0.177535335733668,0.997321942361846
0.187529418641809,1.00319073639197
0.19752350154995,0.997907855879631
0.207517584458091,0.995372920337211
0.21751166736623098,0.993809935771627
0.227505750274373,0.982290954921792
0.23749983318251403,0.99010240053883
0.247493916090654,0.992893297933197
0.257487998998795,1.00824776154957
0.267482081906936,1.00127073509593
0.27747616481507803,0.980345926957692
